match_id,date,team,opponent,corners_for,corners_against,cards,fouls,shots,sot_for,sot_against,referee,is_home
1536927,2026-06-01 17:00:00,Norway,Sweden,6,1,0,6,22,7,5,"Balazs Berke, Hungary",1
1536927,2026-06-01 17:00:00,Sweden,Norway,1,6,1,6,9,5,7,"Balazs Berke, Hungary",0
1537581,2026-03-31 18:45:00,Sweden,Poland,2,9,2,15,9,5,7,S. Vincic,1
1537581,2026-03-31 18:45:00,Poland,Sweden,9,2,3,15,15,7,5,S. Vincic,0
1487928,2026-03-26 19:45:00,Ukraine,Sweden,9,3,2,12,10,4,4,J. Pinheiro,1
1487928,2026-03-26 19:45:00,Sweden,Ukraine,3,9,1,10,10,4,4,J. Pinheiro,0
1323368,2025-11-18 19:45:00,Sweden,Slovenia,6,7,2,6,11,2,3,M. Mariani,1
1323368,2025-11-18 19:45:00,Slovenia,Sweden,7,6,1,11,17,3,2,M. Mariani,0
1323356,2025-11-15 19:45:00,Switzerland,Sweden,4,3,1,13,9,7,3,E. Lambrechts,1
1323356,2025-11-15 19:45:00,Sweden,Switzerland,3,4,4,18,6,3,7,E. Lambrechts,0
1323334,2025-10-13 18:45:00,Sweden,Kosovo,12,0,0,16,13,4,3,D. Makkelie,1
1323334,2025-10-13 18:45:00,Kosovo,Sweden,0,12,2,10,7,3,4,D. Makkelie,0
1323319,2025-10-10 18:45:00,Sweden,Switzerland,4,9,1,13,7,0,8,A. Taylor,1
1323319,2025-10-10 18:45:00,Switzerland,Sweden,9,4,1,10,17,8,0,A. Taylor,0
1323300,2025-09-08 18:45:00,Kosovo,Sweden,1,5,6,13,11,5,5,A. Lindhout,1
1323300,2025-09-08 18:45:00,Sweden,Kosovo,5,1,4,12,14,5,5,A. Lindhout,0
1323284,2025-09-05 18:45:00,Slovenia,Sweden,1,4,2,19,9,4,2,J. Sanchez,1
1323284,2025-09-05 18:45:00,Sweden,Slovenia,4,1,2,21,6,2,4,J. Sanchez,0
1489389,2026-06-20 00:30:00,Brazil,Haiti,4,4,1,13,8,5,3,"Alejandro Hernandez, Spain",1
1489389,2026-06-20 00:30:00,Haiti,Brazil,4,4,3,14,7,3,5,"Alejandro Hernandez, Spain",0
1489371,2026-06-13 22:00:00,Brazil,Morocco,6,2,2,16,12,5,3,"Slavko Vinčić, Slovenia",1
1489371,2026-06-13 22:00:00,Morocco,Brazil,2,6,0,14,14,3,5,"Slavko Vinčić, Slovenia",0
1528287,2026-06-06 22:00:00,Brazil,Egypt,5,3,1,9,12,7,2,"Adonai Escobedo Gonzalez, Mexico",1
1528287,2026-06-06 22:00:00,Egypt,Brazil,3,5,1,9,4,2,7,"Adonai Escobedo Gonzalez, Mexico",0
1536926,2026-05-31 21:30:00,Brazil,Panama,1,1,0,13,19,12,9,"Daniel Schlager, Germany",1
1536926,2026-05-31 21:30:00,Panama,Brazil,1,1,1,5,16,9,12,"Daniel Schlager, Germany",0
1485023,2025-11-18 19:30:00,Brazil,Tunisia,7,1,1,22,22,3,2,"Jérôme Brisard, France",1
1485023,2025-11-18 19:30:00,Tunisia,Brazil,1,7,1,7,7,2,3,"Jérôme Brisard, France",0
1485012,2025-11-15 16:00:00,Brazil,Senegal,7,7,1,14,14,6,1,"Jarred Gillett, Australia",1
1485012,2025-11-15 16:00:00,Senegal,Brazil,7,7,4,11,11,1,6,"Jarred Gillett, Australia",0
1449844,2025-10-14 10:30:00,Japan,Brazil,4,2,1,15,15,6,4,"Jong-Hyeok Kim, South Korea",1
1449844,2025-10-14 10:30:00,Brazil,Japan,2,4,1,9,9,4,6,"Jong-Hyeok Kim, South Korea",0
1449843,2025-10-10 11:00:00,South Korea,Brazil,5,3,3,13,4,1,7,"Abdulrahman Al-Jassim, Qatar",1
1449843,2025-10-10 11:00:00,Brazil,South Korea,3,5,1,9,14,7,1,"Abdulrahman Al-Jassim, Qatar",0
1100318,2025-09-09 23:30:00,Bolivia,Brazil,5,4,0,18,23,10,3,"Cristian Garay, Chile",1
1100318,2025-09-09 23:30:00,Brazil,Bolivia,4,5,2,9,10,3,10,"Cristian Garay, Chile",0
1100315,2025-09-05 00:30:00,Brazil,Chile,4,3,1,14,22,7,0,"Alexis Herrera, Venezuela",1
1100315,2025-09-05 00:30:00,Chile,Brazil,3,4,1,11,3,0,7,"Alexis Herrera, Venezuela",0
1489398,2026-06-21 22:00:00,Uruguay,Cape Verde,11,4,2,11,17,2,4,"Espen Eskas, Norway",1
1489398,2026-06-21 22:00:00,Cape Verde,Uruguay,4,11,2,4,12,4,2,"Espen Eskas, Norway",0
1489379,2026-06-15 22:00:00,Saudi Arabia,Uruguay,4,14,1,11,7,3,10,"Maurizio Mariani, Italy",1
1489379,2026-06-15 22:00:00,Uruguay,Saudi Arabia,14,4,0,6,27,10,3,"Maurizio Mariani, Italy",0
