match_id,team,opponent,corners_for,corners_against,cards,fouls,referee
3922658,South Africa,Cape Verde Islands,4,10,0,15,Jean Jacques Ndala Ngambo
3920386,Nigeria,Equatorial Guinea,2,3,1,13,Abongile Tom
3920386,Equatorial Guinea,Nigeria,3,2,2,12,Abongile Tom
3920408,Equatorial Guinea,Côte d'Ivoire,1,11,3,23,Mahmood Ali Mahmood Ismail
3920408,Côte d'Ivoire,Equatorial Guinea,11,1,2,21,Mahmood Ali Mahmood Ismail
3920397,Equatorial Guinea,Guinea-Bissau,2,7,2,15,Samuel Uwikunda
3920397,Guinea-Bissau,Equatorial Guinea,7,2,0,11,Samuel Uwikunda
3920410,Mozambique,Ghana,6,3,4,10,Ibrahim Mutaz
3920410,Ghana,Mozambique,3,6,5,33,Ibrahim Mutaz
3923881,Nigeria,Côte d'Ivoire,4,5,2,19,Dahane Beida
3923881,Côte d'Ivoire,Nigeria,5,4,3,15,Dahane Beida
3923880,South Africa,Congo DR,2,1,0,7,Bamlak Tessema Weyesa
3923880,Congo DR,South Africa,1,2,1,13,Bamlak Tessema Weyesa
3922838,Côte d'Ivoire,Congo DR,6,6,0,14,Ibrahim Mutaz
3922838,Congo DR,Côte d'Ivoire,6,6,0,17,Ibrahim Mutaz
3922837,Nigeria,South Africa,5,4,2,22,Amin Mohamed Omar
3922837,South Africa,Nigeria,4,5,1,11,Amin Mohamed Omar
3922242,Senegal,Côte d'Ivoire,6,2,4,25,Pierre Ghislain Atcho
3922242,Côte d'Ivoire,Senegal,2,6,3,26,Pierre Ghislain Atcho
3922239,Equatorial Guinea,Guinea,2,2,1,12,Omar Abdulkadir Artan
3922239,Guinea,Equatorial Guinea,2,2,1,18,Omar Abdulkadir Artan
3922659,Mali,Côte d'Ivoire,10,2,4,31,Mohamed Adel Elsaid
3922659,Côte d'Ivoire,Mali,2,10,7,19,Mohamed Adel Elsaid
3922244,Mali,Burkina Faso,1,2,1,19,Ibrahim Mutaz
3922244,Burkina Faso,Mali,2,1,3,18,Ibrahim Mutaz
3922356,Congo DR,Guinea,3,4,1,16,Mustapha Ghorbal
3922356,Guinea,Congo DR,4,3,2,18,Mustapha Ghorbal
3922321,Nigeria,Angola,4,7,1,18,Issa Sy
3922321,Angola,Nigeria,7,4,3,20,Issa Sy
3922237,Angola,Namibia,6,3,1,15,Dahane Beida
3922237,Namibia,Angola,3,6,3,20,Dahane Beida
3922243,Morocco,South Africa,6,2,2,13,Mahmood Ali Mahmood Ismail
3922243,South Africa,Morocco,2,6,3,17,Mahmood Ali Mahmood Ismail
3922241,Cape Verde Islands,Mauritania,11,1,1,18,Mohamed Adel Elsaid
3922241,Mauritania,Cape Verde Islands,1,11,1,14,Mohamed Adel Elsaid
3922238,Nigeria,Cameroon,3,1,2,20,Redouane Jiyed
3922238,Cameroon,Nigeria,1,3,2,19,Redouane Jiyed
3920396,Egypt,Ghana,3,4,0,14,Pierre Ghislain Atcho
3920396,Ghana,Egypt,4,3,1,20,Pierre Ghislain Atcho
3920385,Egypt,Mozambique,7,2,1,9,Dahane Beida
3920385,Mozambique,Egypt,2,7,3,9,Dahane Beida
3920387,Ghana,Cape Verde Islands,2,5,3,17,Jean Jacques Ndala Ngambo
3920387,Cape Verde Islands,Ghana,5,2,3,15,Jean Jacques Ndala Ngambo
3920419,Zambia,Morocco,3,7,0,10,Patrice Tanguy Mebiame
3920419,Morocco,Zambia,7,3,1,17,Patrice Tanguy Mebiame
3920418,Tanzania,Congo DR,1,4,0,5,Amin Mohamed Omar
3920418,Congo DR,Tanzania,4,1,1,9,Amin Mohamed Omar
3920411,Cape Verde Islands,Egypt,4,8,1,9,Alhadi Allaou Mahamat
3920411,Egypt,Cape Verde Islands,8,4,2,11,Alhadi Allaou Mahamat
3920406,Zambia,Tanzania,5,3,3,18,Djindo Louis Houngnandande
3920406,Tanzania,Zambia,3,5,0,9,Djindo Louis Houngnandande
3920401,Guinea,Gambia,7,5,2,12,Abdel Aziz Mohamed Bouh
3920401,Gambia,Guinea,5,7,2,19,Abdel Aziz Mohamed Bouh
3920398,Côte d'Ivoire,Nigeria,5,6,0,16,Mustapha Ghorbal
3920398,Nigeria,Côte d'Ivoire,6,5,1,19,Mustapha Ghorbal
3920392,Burkina Faso,Mauritania,3,4,3,21,Jalal Jayed
3920392,Mauritania,Burkina Faso,4,3,2,13,Jalal Jayed
3920391,Mali,South Africa,2,3,3,14,Mohamed Adel Hussein
3920391,South Africa,Mali,3,2,2,12,Mohamed Adel Hussein
3920390,Algeria,Angola,14,2,4,13,Issa Sy
3920390,Angola,Algeria,2,14,1,19,Issa Sy
3920388,Senegal,Gambia,6,4,2,20,Redouane Jiyed
3920388,Gambia,Senegal,4,6,1,13,Redouane Jiyed
3920384,Côte d'Ivoire,Guinea-Bissau,6,2,2,12,Amin Mohamed Omar
3920384,Guinea-Bissau,Côte d'Ivoire,2,6,1,13,Amin Mohamed Omar
